programme,code_kpi,intitule,type,frequence,valeur,cible,unite,responsable,mois,commentaire
P428 Industrie,P428-01,Emplois industriels nets créés,OUTCOME,Trimestrielle,38240,42000,emplois,Responsable Programme P428,2026-04,Progression positive mais inférieure à la trajectoire cible
P428 Industrie,P428-02,Volume d'investissements engagés,OUTCOME,Trimestrielle,12400,15000,MMAD,Responsable Programme P428,2026-04,Nécessité d'accélérer les projets en instruction
P428 Industrie,P428-03,Part de l'industrie dans le PIB,OUTCOME,Annuelle,18.6,23,%,Responsable Programme P428,2026-04,Indicateur structurel à suivre annuellement
P428 Industrie,P428-04,Taux de réalisation des projets PAI,OUTPUT,Trimestrielle,82,80,%,Responsable Programme P428,2026-04,Performance conforme à la cible
P428 Industrie,P428-05,Délai moyen d'instruction des dossiers,OUTPUT,Mensuelle,34,30,jours,Direction métier P428,2026-04,Dépassement du délai cible nécessitant une action corrective
P428 Industrie,P428-06,Taux de satisfaction des investisseurs,OUTCOME,Semestrielle,76,75,%,Direction métier P428,2026-04,Niveau conforme à la cible
P431 Commerce,P431-07,Taux de conformité commerciale,OUTCOME,Mensuelle,79,85,%,Responsable Programme P431,2026-04,Ecart significatif à analyser par direction métier
P431 Commerce,P431-08,CA des exportations industrielles,OUTCOME,Mensuelle,8400,10000,MMAD,Responsable Programme P431,2026-04,Performance à renforcer
P431 Commerce,P431-09,Taux de croissance des exportations,OUTCOME,Trimestrielle,8.4,10,%,Responsable Programme P431,2026-04,Ecart modéré par rapport à la cible annuelle
P470 Support,P470-10,Taux d'exécution budgétaire global,OUTPUT,Mensuelle,68,90,%,Responsable Programme P470,2026-04,Alerte critique sur le rythme d'exécution
P470 Support,P470-11,Score de maturité CdG,OUTCOME,Annuelle,2.4,3.2,score /5,DOCG,2026-04,Progression attendue après formalisation des revues de performance
Transversal,P428/431-12,Taux de satisfaction des opérateurs économiques,OUTCOME,Semestrielle,64,70,%,DOCG,2026-04,Ecart à traiter dans les revues de performance
